Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,84.78,143.68,12.8,15.64,28.4,13.76,2.93,0.64,21.67,1.04,3.14,1.37,,0.4,0.64,23.02,35.57,0.04,202.87,0.0,0.0,,,
2024-01-01 01:00:00,69.22,116.12,12.53,15.22,27.6,13.81,2.97,0.53,21.51,0.88,2.9,0.75,,0.41,0.9,22.99,35.63,0.02,173.22,0.0,0.0,,,
2024-01-01 02:00:00,71.12,122.75,12.91,15.18,28.08,13.67,3.01,0.7,20.86,1.24,2.9,0.96,,0.43,1.06,22.99,35.59,0.02,196.79,0.0,0.0,,,
2024-01-01 03:00:00,69.4,123.4,12.49,15.21,27.6,13.44,2.96,0.55,21.1,1.12,3.22,1.54,,0.41,0.72,23.0,35.57,0.02,190.0,0.0,0.0,,,
2024-01-01 04:00:00,71.68,127.2,12.43,14.83,27.25,13.2,2.88,0.47,21.21,1.06,3.1,0.99,,0.41,0.66,23.0,35.6,0.03,211.17,0.0,0.0,,,
2024-01-01 05:00:00,57.58,109.42,12.5,14.37,26.89,13.32,2.86,0.46,21.33,0.98,2.92,1.1,,0.41,0.62,22.99,35.56,0.03,212.19,0.0,0.0,,,
2024-01-01 06:00:00,58.05,109.85,13.3,13.27,26.62,13.34,2.83,0.57,21.52,0.87,3.08,0.6,,0.41,0.59,23.0,35.56,0.04,240.93,0.0,0.0,,,
2024-01-01 07:00:00,70.0,124.7,12.63,13.37,25.89,13.37,2.88,0.61,21.1,0.68,3.38,0.7,,0.41,0.75,23.01,35.58,0.04,209.97,0.0,0.0,,,
2024-01-01 08:00:00,88.92,157.25,11.75,13.99,25.74,12.97,2.92,0.78,21.34,0.64,3.07,0.78,,0.41,0.82,23.0,35.64,0.03,160.44,0.0,0.0,,,
2024-01-01 09:00:00,77.53,132.0,12.19,12.97,25.02,12.83,2.94,0.68,21.78,0.64,3.32,0.6,,0.4,0.95,23.0,35.57,0.03,225.81,0.0,0.0,,,
