Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2026-01-01 00:00:00,119.0,225.0,1.0,36.5,20.25,36.75,16.67,0.0,14.5,NA,NA,NA,NA,NA,NA,20.25,60.5,0.0,8.0,0.0,0.0,NA,998.75,NA
2026-01-01 01:00:00,107.5,183.75,1.0,35.75,20.25,36.25,13.25,0.0,14.0,NA,NA,NA,NA,NA,NA,20.0,64.5,0.0,5.75,0.0,0.0,NA,999.0,NA
2026-01-01 02:00:00,98.5,159.5,1.0,28.75,16.0,34.0,9.75,0.0,17.5,NA,NA,NA,NA,NA,NA,19.5,67.25,0.0,4.0,0.0,0.0,NA,998.5,NA
2026-01-01 03:00:00,91.25,136.75,1.0,24.0,14.25,33.0,6.5,0.0,11.75,NA,NA,NA,NA,NA,NA,19.0,75.75,0.0,3.0,0.0,0.0,NA,998.5,NA
2026-01-01 04:00:00,69.75,120.25,1.5,25.25,14.75,33.5,5.0,0.0,9.0,NA,NA,NA,NA,NA,NA,18.75,86.5,0.0,6.75,0.0,0.0,NA,998.5,NA
2026-01-01 05:00:00,63.5,117.0,1.75,34.25,20.0,37.0,3.25,0.0,5.0,NA,NA,NA,NA,NA,NA,18.0,99.0,0.0,10.25,0.0,0.0,NA,998.75,NA
2026-01-01 06:00:00,58.0,117.0,2.0,33.5,19.25,37.0,2.5,0.0,5.75,NA,NA,NA,NA,NA,NA,18.75,99.0,0.0,20.0,0.0,0.0,NA,999.0,NA
2026-01-01 07:00:00,63.0,115.25,2.25,27.5,16.5,36.0,2.0,0.0,6.5,NA,NA,NA,NA,NA,NA,18.0,99.0,0.0,18.5,0.0,0.0,NA,999.0,NA
2026-01-01 08:00:00,58.0,114.25,4.5,35.25,22.5,39.75,6.0,0.0,6.25,NA,NA,NA,NA,NA,NA,19.0,98.5,0.0,13.0,0.0,0.0,NA,999.0,NA
2026-01-01 09:00:00,57.75,120.75,3.75,36.25,22.5,39.25,6.0,0.0,13.75,NA,NA,NA,NA,NA,NA,20.75,75.25,0.0,11.0,0.0,0.0,NA,999.0,NA
