Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,82.91,175.45,3.32,46.34,25.08,,,0.18,33.13,11.7,11.19,4.59,,0.51,1.98,22.76,69.43,2.75,40.11,,0.0,4.0,1001.0,0.97
2024-01-01 01:00:00,78.11,171.02,4.61,42.65,24.25,,,0.18,26.06,8.9,3.92,2.24,,0.36,1.46,21.94,74.68,1.3,53.49,,0.0,4.0,1001.0,0.96
2024-01-01 02:00:00,76.58,158.12,3.71,47.56,25.97,,,0.34,17.24,4.6,10.87,1.43,,0.08,1.33,21.36,77.86,1.58,52.9,,0.0,4.0,1001.0,0.94
2024-01-01 03:00:00,69.83,141.99,3.4,38.94,21.53,,,0.25,16.88,8.52,6.91,1.1,,0.3,1.33,20.78,81.7,0.3,86.74,,0.0,4.0,1001.0,0.93
2024-01-01 04:00:00,73.35,135.11,3.43,29.76,17.08,,,0.16,31.68,6.52,6.63,2.05,,0.52,1.9,20.82,80.03,0.24,119.25,,0.0,4.0,1001.0,0.93
2024-01-01 05:00:00,69.56,128.43,3.04,21.37,12.69,,,0.08,38.74,6.23,1.04,0.26,,0.04,0.41,20.83,78.88,0.44,95.9,,0.0,4.0,1001.0,0.94
2024-01-01 06:00:00,67.22,136.67,2.99,28.8,16.28,,,0.27,25.42,5.24,4.7,2.6,,0.58,0.46,20.37,80.76,0.76,89.48,,0.0,4.0,1001.0,0.92
2024-01-01 07:00:00,71.58,147.89,2.91,20.01,11.94,,,0.23,29.17,7.1,5.82,0.55,,0.14,0.5,20.18,79.37,0.83,107.58,,0.0,10.01,1001.0,0.93
2024-01-01 08:00:00,69.65,136.21,3.42,22.44,13.5,,,0.21,30.91,7.9,7.32,0.19,,0.06,0.65,20.78,77.07,0.96,86.74,,0.0,46.57,1001.0,0.94
2024-01-01 09:00:00,70.61,131.13,3.24,22.46,13.38,,,0.22,35.42,6.34,6.26,0.0,,0.1,0.84,22.1,73.42,1.29,105.08,,0.0,108.03,1001.0,0.96
2024-01-01 10:00:00,67.4,127.52,3.32,21.18,12.82,,,0.39,47.8,5.25,6.23,0.0,,0.3,1.65,23.87,69.0,0.79,86.82,,0.0,178.4,1001.0,0.99
2024-01-01 11:00:00,68.92,131.66,3.07,20.31,12.2,,,0.4,65.35,6.84,7.96,1.29,,0.37,0.81,25.52,64.52,1.03,69.56,,0.0,240.41,1001.0,1.02
2024-01-01 12:00:00,69.16,138.39,2.82,19.34,11.54,,,0.37,85.78,4.3,4.66,2.24,,0.07,0.8,27.22,59.48,1.43,65.28,,0.0,275.88,1001.0,1.04
2024-01-01 13:00:00,69.94,140.76,3.32,32.46,18.32,,,0.26,82.72,6.09,10.15,2.15,,0.68,1.61,27.6,55.86,4.01,39.16,,0.0,261.18,1001.0,1.06
2024-01-01 14:00:00,65.01,136.34,3.23,35.72,19.84,,,0.24,83.02,4.94,6.23,1.95,,0.68,1.31,28.5,50.28,3.18,26.82,,0.0,206.95,1001.0,1.07
2024-01-01 15:00:00,63.07,128.62,3.04,30.25,17.02,,,0.22,78.79,4.44,4.25,1.15,,0.17,0.75,28.95,46.7,2.28,45.07,,0.0,139.46,1001.0,1.07
2024-01-01 16:00:00,61.56,124.08,2.95,26.02,14.9,,,0.19,74.42,3.19,3.46,0.7,,0.44,0.72,28.48,46.14,2.27,41.9,,0.0,68.28,1001.0,1.07
2024-01-01 17:00:00,57.3,121.04,2.92,25.68,14.7,,,0.22,67.74,1.23,1.4,1.28,,,1.61,27.49,50.33,2.76,47.02,,0.0,22.0,1001.0,1.05
2024-01-01 18:00:00,62.2,140.43,2.78,45.54,24.29,,,0.56,45.42,6.76,14.07,6.25,,1.68,3.58,26.38,58.97,0.45,49.08,,0.0,4.26,1001.0,1.03
2024-01-01 19:00:00,73.38,151.43,5.71,82.87,44.69,,,0.98,16.07,15.38,35.51,13.95,,2.74,6.61,25.81,64.58,0.8,43.84,,0.0,4.0,1001.0,1.02
2024-01-01 20:00:00,83.73,163.87,14.0,97.62,58.07,,,1.32,9.44,19.29,34.68,21.07,,3.8,9.79,25.45,66.33,1.26,46.4,,0.0,4.0,1001.0,1.01
2024-01-01 21:00:00,88.22,182.82,8.11,76.32,43.29,,,0.88,21.52,20.0,30.7,22.09,,3.01,10.39,24.36,71.47,0.24,86.69,,0.0,4.0,1001.0,0.99
2024-01-01 22:00:00,86.7,166.35,2.93,29.39,16.53,,,0.32,54.31,7.1,13.32,15.5,,1.52,5.01,23.27,73.9,0.47,117.54,,0.0,4.0,1001.0,0.98
2024-01-01 23:00:00,77.06,144.79,2.77,23.94,13.74,,,0.3,45.29,5.04,0.0,4.4,,,0.7,22.26,76.77,1.04,108.5,,0.0,4.0,1001.0,0.96
2024-01-02 00:00:00,64.33,141.21,2.84,17.0,10.41,,,0.24,46.24,3.37,0.0,0.0,,,0.16,21.26,79.87,0.88,105.48,,0.0,4.0,1001.0,0.94
2024-01-02 01:00:00,62.72,127.6,2.67,13.21,8.44,,,0.2,47.76,2.26,0.0,1.53,,,0.34,20.87,80.81,1.28,98.92,,0.0,4.0,1001.0,0.94
2024-01-02 02:00:00,62.06,113.92,2.94,11.63,7.87,,,0.34,38.24,5.1,0.0,1.65,,,,20.4,81.7,0.96,106.55,,0.0,4.0,1001.0,0.93
2024-01-02 03:00:00,58.54,120.42,3.14,12.58,8.48,,,0.3,36.33,3.82,0.0,0.0,,,,20.05,81.73,1.1,107.4,,0.0,4.0,1001.0,0.92
2024-01-02 04:00:00,57.08,114.33,3.15,11.89,8.15,,,0.31,37.1,1.08,0.0,0.0,,,,19.72,81.28,0.96,111.11,,0.0,4.0,1001.0,0.92
2024-01-02 05:00:00,52.82,98.44,2.93,15.51,9.75,,,0.33,33.64,2.91,0.0,0.0,,,0.23,19.47,81.6,0.84,99.94,,0.0,4.0,1001.0,0.91
2024-01-02 06:00:00,54.91,95.66,3.03,17.37,10.73,,,0.33,32.25,3.02,0.0,0.0,,,0.11,19.26,81.24,1.09,100.23,,0.0,4.0,1001.0,0.92
2024-01-02 07:00:00,59.28,91.3,2.81,17.13,10.45,,,0.38,28.79,0.34,0.0,0.0,,,,18.88,82.12,1.36,95.3,,0.0,9.83,1001.0,0.91
2024-01-02 08:00:00,60.66,92.64,3.56,20.19,12.51,,,0.41,27.03,0.0,0.0,0.0,,,,19.19,80.34,1.64,99.11,,0.0,46.42,1001.0,0.91
2024-01-02 09:00:00,60.5,106.45,3.8,18.97,12.09,,,0.39,30.28,0.0,0.0,0.0,,,,20.29,75.93,1.38,94.14,,0.0,107.82,1001.0,0.94
2024-01-02 10:00:00,61.14,110.78,3.68,19.07,12.04,,,1.4,43.3,0.0,0.0,0.0,,,,21.98,70.99,1.24,91.91,,0.0,178.99,1001.0,0.96
2024-01-02 11:00:00,63.4,120.38,3.12,16.85,10.55,,,1.46,57.27,0.62,0.0,0.0,,,,23.59,67.06,1.4,87.03,,0.0,242.72,1001.0,0.99
2024-01-02 12:00:00,69.73,113.14,3.19,16.61,10.48,,,1.44,72.62,1.01,0.0,0.0,,,,25.1,64.45,1.28,89.74,,0.0,273.48,1001.0,1.01
2024-01-02 13:00:00,70.69,117.1,2.91,16.37,10.15,,,1.43,77.24,2.32,0.0,0.0,,,,26.12,62.56,1.58,78.82,,0.0,262.86,1001.0,1.03
2024-01-02 14:00:00,66.32,134.32,2.86,16.85,10.36,,,0.48,81.88,1.27,0.0,0.0,,,,26.72,61.76,1.55,85.92,,0.0,209.06,1001.0,1.04
2024-01-02 15:00:00,65.55,132.44,2.92,19.04,11.46,,,0.46,84.27,1.77,2.38,1.04,,0.08,1.05,27.02,61.76,0.91,111.61,,0.0,139.39,1001.0,1.04
2024-01-02 16:00:00,63.41,122.34,2.81,19.0,11.37,,,0.43,81.45,1.95,0.0,0.0,,,,26.31,65.42,0.58,93.86,,0.0,71.76,1001.0,1.03
2024-01-02 17:00:00,66.28,124.38,3.12,21.96,13.04,,,0.49,74.82,1.84,0.0,0.0,,,,24.92,70.35,0.4,111.6,,0.0,21.1,1001.0,1.01
2024-01-02 18:00:00,75.1,138.83,3.22,35.16,19.55,,,0.6,49.17,0.3,0.0,0.0,,,,23.74,75.57,0.12,107.39,,0.0,4.29,1001.0,0.99
2024-01-02 19:00:00,80.57,143.42,3.18,38.43,21.12,,,0.64,38.2,0.18,0.0,0.0,,,,23.02,78.28,0.15,117.11,,0.0,4.0,1001.0,0.98
2024-01-02 20:00:00,75.82,138.65,3.14,30.7,17.32,,,0.57,38.63,0.04,0.0,0.0,,,,22.24,80.37,0.3,101.92,,0.0,4.0,1001.0,0.96
2024-01-02 21:00:00,69.95,129.85,3.18,24.26,14.21,,,0.46,35.44,0.0,0.0,0.0,,,,21.46,80.2,0.42,111.53,,0.0,4.0,1001.0,0.95
2024-01-02 22:00:00,62.93,126.94,3.13,19.64,11.92,,,0.33,31.15,6.29,10.84,3.49,,0.96,2.73,20.7,81.34,0.75,123.36,,0.0,4.0,1001.0,0.94
