Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2026-01-01 00:00:00,85.5,149.25,12.0,50.5,33.25,NA,13.75,0.0,54.75,0.0,3.0,0.0,NA,0.0,0.0,22.0,71.75,0.0,310.0,NA,NA,210.75,1001.0,0.25
2026-01-01 01:00:00,68.25,104.75,12.0,50.25,33.25,NA,31.75,0.0,58.0,0.0,3.0,0.0,NA,0.0,0.0,22.0,71.5,0.0,313.0,NA,NA,206.25,1001.0,1.0
2026-01-01 02:00:00,72.75,116.75,12.0,50.25,33.0,NA,35.75,0.0,59.0,0.0,3.0,0.0,NA,0.0,0.0,22.0,77.5,0.0,295.75,NA,NA,212.75,1001.0,0.0
2026-01-01 03:00:00,69.25,126.0,12.0,50.75,33.75,NA,19.0,0.0,53.25,0.0,3.0,0.0,NA,0.0,0.0,21.0,79.5,0.0,264.0,NA,NA,219.75,1001.0,0.0
2026-01-01 04:00:00,55.75,88.5,12.0,51.0,33.75,NA,27.0,0.0,59.75,0.0,3.0,0.0,NA,0.0,0.0,21.0,82.0,0.0,8.75,NA,NA,218.25,1001.0,0.0
2026-01-01 05:00:00,41.0,73.0,12.0,50.5,33.25,NA,35.5,0.0,56.25,0.0,3.0,0.0,NA,0.0,0.0,21.0,84.25,0.0,103.5,NA,NA,219.5,1001.0,0.0
2026-01-01 06:00:00,48.0,72.0,12.0,50.5,33.25,NA,18.5,0.0,58.25,0.0,3.0,0.0,NA,0.0,0.0,20.25,86.0,0.0,21.75,NA,NA,222.75,1001.0,0.0
2026-01-01 07:00:00,47.5,65.75,12.0,50.5,33.25,NA,23.0,0.0,56.25,0.0,3.0,0.25,NA,0.0,0.0,20.0,87.0,0.0,28.0,NA,NA,219.5,1001.0,0.0
2026-01-01 08:00:00,39.25,71.0,12.0,50.25,33.25,NA,36.0,0.0,59.75,0.0,3.0,0.0,NA,0.0,0.0,21.25,83.25,0.0,46.0,NA,NA,230.25,1001.0,0.0
2026-01-01 09:00:00,46.0,72.5,12.0,50.25,33.0,NA,22.75,0.0,64.0,0.0,3.0,0.0,NA,0.0,0.0,22.5,77.25,0.0,47.75,NA,NA,244.0,1001.0,0.0
2026-01-01 10:00:00,39.25,79.5,12.0,50.5,33.0,NA,22.67,0.0,65.0,0.0,3.0,0.0,NA,0.0,0.0,24.25,72.0,0.0,57.5,NA,NA,262.75,1001.0,1.0
2026-01-01 11:00:00,34.75,99.5,12.0,50.75,33.75,NA,34.0,0.0,71.25,0.0,3.0,0.0,NA,0.0,0.0,26.5,66.0,0.0,45.0,NA,NA,265.75,1001.0,1.0
2026-01-01 12:00:00,39.75,74.0,12.0,50.5,33.5,NA,27.25,0.0,80.0,0.0,3.0,0.0,NA,0.0,0.0,27.5,61.25,0.0,31.25,NA,NA,257.5,1001.0,1.0
2026-01-01 13:00:00,41.25,68.25,12.0,50.75,33.5,NA,15.25,0.0,72.75,0.0,3.0,0.0,NA,0.0,0.0,28.75,58.25,0.0,43.5,NA,NA,254.0,1001.0,1.0
2026-01-01 14:00:00,24.25,68.0,12.0,51.0,33.75,NA,37.0,0.0,68.75,0.0,3.0,0.0,NA,0.0,0.0,31.0,53.25,0.0,114.25,NA,NA,263.25,1001.0,1.0
2026-01-01 15:00:00,30.0,60.75,12.0,50.5,33.25,NA,31.5,0.0,67.75,0.0,3.0,0.0,NA,0.0,0.0,30.25,53.75,0.0,34.5,NA,NA,239.25,1001.0,1.0
2026-01-01 16:00:00,22.75,60.0,12.0,50.75,33.5,NA,14.75,0.0,68.5,0.0,3.0,0.25,NA,0.0,0.0,29.75,54.0,0.0,55.75,NA,NA,231.75,1001.0,1.0
2026-01-01 17:00:00,14.5,60.25,12.0,50.75,33.5,NA,40.75,0.0,65.0,0.0,3.0,0.0,NA,0.0,0.0,28.0,57.5,0.0,53.25,NA,NA,213.25,1001.0,1.0
2026-01-01 18:00:00,29.0,64.75,12.0,51.0,34.0,NA,39.0,0.0,53.5,0.0,3.0,0.0,NA,0.0,0.0,25.0,62.0,0.0,44.75,NA,NA,202.0,1001.0,1.0
2026-01-01 19:00:00,62.0,77.5,12.0,51.0,33.5,NA,16.0,0.0,45.75,0.0,3.0,0.0,NA,0.0,0.0,24.25,65.25,0.0,39.0,NA,NA,207.0,1001.0,1.0
2026-01-01 20:00:00,69.25,90.0,12.0,50.5,33.5,NA,39.5,0.0,44.75,0.0,3.0,0.0,NA,0.0,0.0,23.25,64.75,0.0,44.25,NA,NA,199.25,1001.0,1.0
2026-01-01 21:00:00,60.5,96.0,12.0,50.75,33.5,NA,37.25,0.0,41.0,0.0,3.0,0.0,NA,0.0,0.0,22.75,64.0,0.0,55.0,NA,NA,194.25,1001.0,0.75
2026-01-01 22:00:00,53.75,95.25,12.0,50.5,33.25,NA,9.5,0.0,51.0,0.0,3.0,0.0,NA,0.0,0.0,21.75,66.25,0.0,52.25,NA,NA,198.5,1001.0,0.0
2026-01-01 23:00:00,34.0,91.0,12.0,50.25,33.25,NA,38.5,0.0,43.75,0.0,3.0,0.0,NA,0.0,0.0,21.0,71.75,0.0,44.0,NA,NA,212.25,1001.0,0.0
2026-01-02 00:00:00,42.75,95.25,12.0,50.75,33.75,NA,37.75,0.0,42.0,0.0,3.0,0.0,NA,0.0,0.0,20.5,73.25,0.0,49.5,NA,NA,211.5,1001.0,0.0
2026-01-02 01:00:00,51.25,77.5,12.0,50.75,33.75,NA,27.5,0.0,33.5,0.0,3.0,0.0,NA,0.0,0.0,20.0,74.5,0.0,52.75,NA,NA,210.5,1001.0,0.0
2026-01-02 02:00:00,33.75,80.0,12.0,50.5,33.25,NA,65.0,0.0,44.25,0.0,3.0,0.0,NA,0.0,0.0,19.5,76.0,0.0,57.5,NA,NA,204.25,1001.0,0.0
