Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,71.45,115.5,12.195,166.6125,90.375,,76.88,0.995,28.255000000000003,8.48,38.49,4.47,,1.36,1.98,19.73,59.6575,3.8125,24.259999999999998,,0.0,254.37,800.0,0.9624999999999999
2023-01-01 01:00:00,71.535,115.5,11.81,150.48000000000002,82.2225,,55.42,1.6225,30.565,8.48,38.49,4.47,,1.36,1.98,18.89,67.39,2.4775,34.705,,0.0,258.075,800.0,0.9175
2023-01-01 02:00:00,63.489999999999995,115.5,9.93,132.76,72.1725,,3.5825,1.5975,26.68,8.48,38.49,4.47,,1.36,1.98,18.1475,75.83,0.8899999999999999,47.5,,0.0,255.7125,800.0,0.935
2023-01-01 03:00:00,66.9925,115.5,21.767500000000002,158.4075,93.525,,0.145,1.4825,28.44,8.48,38.49,4.47,,1.36,1.98,18.0225,78.9925,0.825,51.405,,0.0,253.2975,800.0,0.935
2023-01-01 04:00:00,70.9725,115.5,12.5925,91.0975,53.8375,,,1.1375,26.605,8.48,38.49,4.47,,1.36,1.98,18.505000000000003,66.565,0.8725,94.72749999999999,,0.0,255.61749999999998,800.0,0.9425
2023-01-01 05:00:00,80.625,115.5,10.31,61.7825,37.8375,,,1.3225,26.557499999999997,8.48,38.49,4.47,,1.36,1.98,18.2725,66.71,0.9875,84.785,,0.0,251.37,800.0,0.94
2023-01-01 06:00:00,72.30250000000001,115.5,10.975,71.9075,43.269999999999996,,0.58,1.36,25.015,8.48,38.49,4.47,,1.36,1.98,17.450000000000003,70.53999999999999,0.9724999999999999,92.425,,0.0,251.4425,800.0,0.9275
2023-01-01 07:00:00,51.415,115.5,11.58,77.045,46.2275,,2.8925,1.205,24.947499999999998,8.48,38.49,4.47,,1.36,1.98,11.8275,64.9675,0.9124999999999999,97.5,,0.0,252.8625,800.0,0.63
2023-01-01 08:00:00,66.5825,115.5,11.27,71.6925,43.38,,7.14,1.465,23.2675,8.48,38.49,4.47,,1.36,1.98,16.6875,67.14,1.1625,90.9725,,0.0,268.785,800.0,0.8200000000000001
2023-01-01 09:00:00,61.975,115.5,12.6725,77.5875,47.305,,23.435,1.2875,26.017500000000002,8.48,38.49,4.47,,1.36,1.98,19.67,63.635,1.3475000000000001,100.8325,,0.0,290.7175,800.0,0.96
2023-01-01 10:00:00,77.0825,115.5,14.8825,91.63,55.8075,,12.97,1.1949999999999998,26.6875,8.48,38.49,4.47,,1.36,1.98,21.86,54.067499999999995,1.6975,119.84,,0.0,309.91499999999996,800.0,1.0
2023-01-01 11:00:00,68.195,115.5,11.5125,73.21000000000001,44.3025,,,1.1425,23.875,8.48,38.49,4.47,,1.36,1.98,23.810000000000002,50.06,1.415,107.2775,,0.0,321.575,800.0,1.03
2023-01-01 12:00:00,54.714999999999996,115.5,9.6075,50.65,31.88,,,1.0325,22.515,8.48,38.49,4.47,,1.36,1.98,24.877499999999998,49.655,1.655,69.7625,,0.0,330.26750000000004,800.0,1.045
2023-01-01 13:00:00,59.042500000000004,115.5,8.8375,45.76,28.9175,,,1.205,26.4625,8.48,38.49,4.47,,1.36,1.98,25.8625,49.06,1.51,65.86500000000001,,0.0,331.255,800.0,1.0625
2023-01-01 14:00:00,48.68,115.5,7.5525,44.745000000000005,27.4625,,,0.995,29.835,8.48,38.49,4.47,,1.36,1.98,26.455,47.485,1.87,76.6625,,0.0,320.18,800.0,1.0750000000000002
2023-01-01 15:00:00,39.56,115.5,7.81,46.8975,28.705000000000002,,,0.86,27.08,8.48,38.49,4.47,,1.36,1.98,26.725,46.71,1.0025,79.5575,,0.0,302.54499999999996,800.0,1.0825
2023-01-01 16:00:00,53.7575,115.5,7.525,44.730000000000004,27.435000000000002,,26.447499999999998,0.7375,24.6275,8.48,38.49,4.47,,1.36,1.98,16.435,40.0275,0.9875,80.0025,,0.0,286.18,800.0,0.7325
2023-01-01 17:00:00,54.93,115.5,7.592499999999999,64.215,36.99,,22.5125,1.52,28.685000000000002,8.48,38.49,4.47,,1.36,1.98,24.895,50.402499999999996,0.615,74.85499999999999,,0.0,273.7975,800.0,1.0225
2023-01-01 18:00:00,51.825,115.5,8.2075,150.38,79.4825,,0.6025,2.1425,25.36,8.48,38.49,4.47,,1.36,1.98,22.11,55.222500000000004,0.16749999999999998,79.91749999999999,,0.0,266.15,800.0,0.985
2023-01-01 19:00:00,85.15,115.5,45.5125,289.9875,175.425,,11.8575,3.4875000000000003,25.405,8.48,38.49,4.47,,1.36,1.98,15.299999999999999,48.8825,0.1225,49.894999999999996,,0.0,259.6975,800.0,0.5974999999999999
2023-01-01 20:00:00,100.9725,115.5,68.86,269.815,183.01,,2.995,4.6899999999999995,28.8625,8.48,38.49,4.47,,1.36,1.98,21.2325,61.0225,0.10250000000000001,122.47,,0.0,261.3775,800.0,0.795
2023-01-01 21:00:00,,,136.325,210.775,204.5525,,20.1325,6.2225,25.67,8.48,38.49,4.47,,1.36,1.98,19.6175,65.52,0.1525,52.9775,,0.0,257.0075,800.0,0.4775
2023-01-01 22:00:00,,,154.5125,207.8375,216.6925,,5.735,5.9275,33.475,8.48,38.49,4.47,,1.36,1.98,19.275,70.4075,0.92,35.71,,0.0,259.9075,800.0,0.75
2023-01-01 23:00:00,,,51.45,181.36,126.865,,2.0549999999999997,2.4875,26.8625,8.48,38.49,4.47,,1.36,1.98,20.34,70.20750000000001,1.2675,42.7225,,0.0,261.03,800.0,0.98
2023-01-02 00:00:00,,,27.029999999999998,166.48,101.3825,,0.6,1.5225,25.745,8.48,38.49,4.47,,1.36,1.98,19.6075,72.82,1.9224999999999999,35.1425,,0.0,256.6375,800.0,0.9624999999999999
