Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,97.52,190.08,5.26,7.47,11.48,19.41,2.65,0.65,13.24,0.85,,,,,,20.27,81.78,0.09,183.04,0.0,0.0,,,
2024-01-01 01:00:00,88.75,155.3,5.22,7.5,11.4,19.4,2.63,0.44,13.15,0.85,,,,,,20.05,83.15,0.05,156.89,0.0,0.0,,,
2024-01-01 02:00:00,30.22,56.18,5.3,7.69,11.16,19.72,2.67,0.4,13.33,0.85,,,,,,19.63,86.2,0.1,187.5,0.0,0.0,,,
2024-01-01 03:00:00,52.67,121.3,5.24,7.38,11.2,19.44,2.64,0.27,13.2,0.85,,,,,,19.51,88.53,0.05,235.87,0.0,0.0,,,
2024-01-01 04:00:00,59.6,149.72,5.2,7.54,11.52,19.6,2.62,0.24,13.1,0.85,,,,,,19.32,89.22,0.05,214.9,0.0,0.0,,,
2024-01-01 05:00:00,141.77,261.63,5.17,7.68,11.36,19.81,2.61,0.11,13.04,0.84,,,,,,19.83,84.49,0.05,154.42,0.0,0.0,,,
2024-01-01 06:00:00,122.43,237.6,5.25,7.69,11.42,19.49,2.64,0.18,13.22,0.85,,,,,,19.56,84.56,0.1,70.53,0.0,0.0,,,
2024-01-01 07:00:00,47.98,118.7,5.26,7.88,11.42,19.64,2.65,0.22,13.24,0.85,,,,,,19.84,81.19,0.06,53.36,0.0,0.0,,,
2024-01-01 08:00:00,23.77,51.97,5.23,7.74,11.35,19.52,2.64,0.28,13.18,0.85,,,,,,20.77,76.65,0.09,164.41,0.0,0.0,,,
2024-01-01 09:00:00,75.65,123.28,5.25,7.76,11.31,19.51,2.64,0.24,13.21,0.85,,,,,,22.16,72.19,0.12,67.71,0.0,0.0,,,
2024-01-01 10:00:00,247.88,407.15,5.29,7.7,11.57,19.64,2.67,0.36,13.3,0.85,,,,,,23.71,67.9,0.18,98.49,0.0,0.0,,,
2024-01-01 11:00:00,243.1,391.9,5.2,7.44,11.25,19.76,2.62,0.36,13.1,0.85,,,,,,25.11,64.91,0.19,100.94,0.0,0.0,,,
2024-01-01 12:00:00,161.12,285.18,5.36,7.59,11.52,19.64,2.7,0.28,13.45,0.86,,,,,,26.33,62.0,0.08,125.97,0.0,0.0,,,
2024-01-01 13:00:00,88.82,181.0,5.35,7.48,11.31,19.57,2.69,0.03,13.42,0.86,,,,,,27.12,58.8,0.03,263.57,0.0,0.0,,,
2024-01-01 14:00:00,110.8,224.88,5.27,7.73,11.41,19.99,2.65,0.0,13.26,0.85,,,,,,27.58,54.03,0.07,258.32,0.0,0.0,,,
2024-01-01 15:00:00,65.7,150.25,5.45,7.75,11.26,19.79,2.74,0.08,13.64,0.86,,,,,,27.54,51.96,0.04,201.41,0.0,0.0,,,
2024-01-01 16:00:00,63.42,140.18,5.36,7.65,11.53,19.78,2.7,0.24,13.47,0.85,,,,,,27.1,51.67,0.05,176.52,0.0,0.0,,,
2024-01-01 17:00:00,243.1,395.5,5.15,7.44,11.4,19.58,2.6,0.42,13.01,0.84,,,,,,25.76,57.26,0.08,190.34,0.0,0.0,,,
2024-01-01 18:00:00,131.72,209.85,5.35,7.63,11.47,19.48,2.7,0.82,13.44,0.85,,,,,,24.29,66.04,0.08,183.68,0.0,0.0,,,
2024-01-01 19:00:00,108.65,245.52,5.34,7.57,11.24,19.45,2.69,2.26,13.41,0.85,,,,,,22.82,76.75,0.13,187.4,0.0,0.0,,,
2024-01-01 20:00:00,200.62,407.62,5.24,7.44,11.36,19.51,2.64,2.49,13.19,0.85,,,,,,22.13,80.31,0.11,176.87,0.0,0.0,,,
2024-01-01 21:00:00,71.97,150.6,5.37,7.75,11.34,19.39,2.71,1.59,13.48,0.86,,,,,,22.56,77.66,0.06,208.22,0.0,0.0,,,
