Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2026-01-01 00:00:00,NA,NA,2.75,31.25,19.25,72.5,11.33,0.0,11.25,NA,NA,NA,NA,NA,NA,18.75,72.75,0.25,258.75,0.0,0.0,NA,1002.25,NA
2026-01-01 01:00:00,NA,NA,3.75,35.75,22.25,70.75,9.25,0.0,8.75,NA,NA,NA,NA,NA,NA,18.75,75.5,0.25,216.25,0.0,0.0,NA,1001.25,NA
2026-01-01 02:00:00,NA,233.0,2.75,33.25,20.25,67.0,8.75,0.0,12.25,NA,NA,NA,NA,NA,NA,18.5,77.5,0.25,259.75,0.0,0.0,NA,1001.75,NA
2026-01-01 03:00:00,NA,183.75,2.75,22.5,14.25,60.25,7.75,0.0,14.0,NA,NA,NA,NA,NA,NA,18.25,78.5,0.75,300.25,0.0,0.0,NA,1002.5,NA
2026-01-01 04:00:00,88.0,138.25,2.25,17.0,11.25,58.0,7.5,0.0,13.0,NA,NA,NA,NA,NA,NA,18.0,80.75,0.0,246.75,0.0,0.0,NA,1001.5,NA
2026-01-01 05:00:00,68.0,93.25,2.5,14.5,9.75,57.75,7.25,0.0,13.0,NA,NA,NA,NA,NA,NA,18.25,81.5,0.0,231.0,0.0,0.0,NA,1001.5,NA
2026-01-01 06:00:00,58.5,91.0,2.75,15.25,10.5,58.0,7.5,0.0,11.5,NA,NA,NA,NA,NA,NA,18.0,82.25,0.0,218.0,0.0,0.0,NA,1001.0,NA
2026-01-01 07:00:00,56.0,95.75,3.5,17.5,12.5,61.75,7.25,0.0,10.5,NA,NA,NA,NA,NA,NA,18.0,83.75,0.25,224.75,0.0,0.0,NA,1001.75,NA
2026-01-01 08:00:00,55.0,102.75,5.0,24.75,17.25,67.0,8.33,0.0,10.5,NA,NA,NA,NA,NA,NA,19.25,77.75,0.25,191.25,0.0,0.0,NA,1001.25,NA
2026-01-01 09:00:00,57.0,109.75,5.5,31.5,21.25,71.75,10.75,0.0,16.75,NA,NA,NA,NA,NA,NA,21.25,68.5,0.0,287.5,0.0,0.0,NA,1002.0,NA
