Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2026-01-01 00:00:00,111.0,186.5,6.5,25.25,18.5,22.5,59.0,0.0,5.5,NA,NA,NA,NA,NA,NA,19.75,63.75,0.0,353.25,0.0,0.0,NA,995.0,NA
2026-01-01 01:00:00,109.0,185.25,9.75,36.0,27.25,22.25,37.75,0.0,2.25,NA,NA,NA,NA,NA,NA,19.25,67.5,0.0,9.5,0.0,0.0,NA,994.75,NA
2026-01-01 02:00:00,107.0,170.25,6.5,36.0,24.5,23.25,36.0,0.0,3.25,NA,NA,NA,NA,NA,NA,19.5,68.5,0.0,10.0,0.0,0.0,NA,994.75,NA
2026-01-01 03:00:00,102.25,155.0,6.25,20.25,16.25,21.0,31.25,0.0,5.75,NA,NA,NA,NA,NA,NA,19.0,71.0,0.0,9.25,0.0,0.0,NA,995.0,NA
2026-01-01 04:00:00,84.75,149.0,7.0,17.25,15.25,22.25,27.25,0.0,6.25,NA,NA,NA,NA,NA,NA,19.0,72.75,0.0,271.25,0.0,0.0,NA,994.5,NA
2026-01-01 05:00:00,62.0,139.75,7.0,18.75,15.75,24.75,25.75,0.0,5.75,NA,NA,NA,NA,NA,NA,18.75,76.75,0.0,351.75,0.0,0.0,NA,995.0,NA
2026-01-01 06:00:00,53.75,120.5,7.25,15.75,14.25,22.5,24.0,0.0,8.0,NA,NA,NA,NA,NA,NA,19.0,75.75,0.0,353.25,0.0,0.0,NA,994.75,NA
2026-01-01 07:00:00,53.0,112.0,7.75,19.5,16.75,21.5,23.0,0.0,4.75,NA,NA,NA,NA,NA,NA,19.0,77.0,0.0,351.5,0.0,0.0,NA,994.75,NA
2026-01-01 08:00:00,53.75,114.75,9.5,25.75,21.75,26.0,26.25,0.0,4.0,NA,NA,NA,NA,NA,NA,19.0,76.25,0.0,348.75,0.0,0.0,NA,995.0,NA
2026-01-01 09:00:00,51.0,133.0,27.0,33.75,39.25,34.25,27.75,0.0,14.5,NA,NA,NA,NA,NA,NA,20.5,69.0,0.0,350.25,0.0,0.0,NA,994.75,NA
2026-01-01 10:00:00,53.0,136.75,10.5,15.75,17.0,25.25,28.5,0.0,27.5,NA,NA,NA,NA,NA,NA,22.25,62.25,0.0,354.25,0.0,0.0,NA,995.25,NA
2026-01-01 11:00:00,53.25,139.0,7.75,13.25,13.5,27.0,27.25,0.0,38.75,NA,NA,NA,NA,NA,NA,23.5,56.0,0.0,2.5,0.0,0.0,NA,996.0,NA
2026-01-01 12:00:00,53.0,134.0,6.75,17.5,15.0,27.25,26.0,0.0,42.75,NA,NA,NA,NA,NA,NA,24.0,52.5,0.0,4.25,0.0,0.0,NA,995.75,NA
2026-01-01 13:00:00,46.25,133.5,7.75,10.5,12.0,25.0,24.25,0.0,42.75,NA,NA,NA,NA,NA,NA,24.75,48.75,0.0,4.0,0.0,0.0,NA,995.5,NA
2026-01-01 14:00:00,43.5,128.0,6.25,13.5,12.5,25.25,24.5,0.0,44.0,NA,NA,NA,NA,NA,NA,25.0,47.0,0.0,7.75,0.0,0.0,NA,996.0,NA
2026-01-01 15:00:00,44.25,130.5,6.75,14.25,13.75,25.25,23.0,0.0,43.5,NA,NA,NA,NA,NA,NA,25.0,45.75,0.0,10.0,0.0,0.0,NA,995.5,NA
2026-01-01 16:00:00,41.25,131.25,7.5,16.5,15.25,24.25,20.25,0.0,39.25,NA,NA,NA,NA,NA,NA,25.0,45.75,0.0,4.75,0.0,0.0,NA,995.5,NA
2026-01-01 17:00:00,46.0,133.25,7.25,22.75,17.75,28.0,20.75,0.0,34.0,NA,NA,NA,NA,NA,NA,24.0,47.0,0.0,3.0,0.0,0.0,NA,995.75,NA
2026-01-01 18:00:00,38.25,134.75,7.75,33.25,24.25,30.5,20.5,0.0,21.5,NA,NA,NA,NA,NA,NA,23.0,50.5,0.0,90.25,0.0,0.0,NA,995.0,NA
2026-01-01 19:00:00,36.5,128.5,7.0,32.5,23.25,29.75,21.0,0.0,20.0,NA,NA,NA,NA,NA,NA,22.0,52.75,0.0,90.0,0.0,0.0,NA,994.75,NA
2026-01-01 20:00:00,36.25,124.5,6.25,24.25,18.5,26.75,22.0,0.0,25.5,NA,NA,NA,NA,NA,NA,21.5,52.25,0.0,89.75,0.0,0.0,NA,995.0,NA
2026-01-01 21:00:00,33.75,104.5,6.5,19.0,15.5,24.5,20.5,0.0,34.75,NA,NA,NA,NA,NA,NA,20.75,51.75,0.0,1.75,0.0,0.0,NA,994.75,NA
2026-01-01 22:00:00,30.75,99.5,6.25,20.5,16.25,25.0,19.0,0.0,28.75,NA,NA,NA,NA,NA,NA,19.75,56.75,0.0,3.0,0.0,0.0,NA,994.75,NA
2026-01-01 23:00:00,30.0,96.67,6.33,14.0,12.67,17.0,19.0,0.0,21.33,NA,NA,NA,NA,NA,NA,19.0,63.0,0.0,5.0,0.0,0.0,NA,995.0,NA
2026-01-02 00:00:00,23.25,95.75,6.25,12.75,12.0,15.25,17.5,0.0,20.0,NA,NA,NA,NA,NA,NA,18.25,65.25,0.0,6.75,0.0,0.0,NA,994.75,NA
2026-01-02 01:00:00,20.25,89.25,6.0,12.75,11.75,16.5,16.75,0.0,15.0,NA,NA,NA,NA,NA,NA,17.25,69.0,0.0,8.75,0.0,0.0,NA,994.5,NA
2026-01-02 02:00:00,26.75,87.75,8.0,21.0,18.0,24.75,17.75,0.0,13.0,NA,NA,NA,NA,NA,NA,17.0,68.5,0.0,10.25,0.0,0.0,NA,995.0,NA
