Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,37.22,64.18,10.90,10.04,20.94,13.83,8.96,1.58,11.79,NA,NA,NA,NA,NA,NA,17.92,55.47,0.59,280.67,0.00,0.00,NA,NA,NA
2022-01-01 01:00:00,34.05,57.05,10.90,10.06,20.96,13.86,8.75,0.99,11.31,NA,NA,NA,NA,NA,NA,17.43,57.66,0.42,280.62,0.00,0.00,NA,NA,NA
2022-01-01 02:00:00,35.85,59.00,10.80,9.98,20.78,13.74,8.98,0.93,11.42,NA,NA,NA,NA,NA,NA,16.99,59.04,0.53,284.67,0.00,0.00,NA,NA,NA
2022-01-01 03:00:00,34.83,57.10,10.92,10.12,21.04,13.71,8.76,0.73,12.14,NA,NA,NA,NA,NA,NA,16.56,58.64,0.48,277.00,0.00,0.00,NA,NA,NA
2022-01-01 04:00:00,29.98,49.78,11.16,10.11,21.26,13.87,8.87,0.73,11.77,NA,NA,NA,NA,NA,NA,16.49,59.30,0.51,282.14,0.00,0.00,NA,NA,NA
2022-01-01 05:00:00,35.50,57.32,11.12,10.06,21.18,14.00,8.85,1.03,11.78,NA,NA,NA,NA,NA,NA,16.16,61.95,0.45,282.17,0.00,0.00,NA,NA,NA
2022-01-01 06:00:00,31.65,51.05,10.97,10.07,21.04,13.90,8.72,0.91,9.30,NA,NA,NA,NA,NA,NA,16.16,63.59,0.40,274.88,0.00,0.00,NA,NA,NA
2022-01-01 07:00:00,39.33,65.32,11.01,10.04,21.05,14.02,8.61,0.36,9.55,NA,NA,NA,NA,NA,NA,16.29,64.02,0.48,283.70,0.00,0.00,NA,NA,NA
2022-01-01 08:00:00,63.10,103.80,11.10,10.01,21.12,14.18,8.79,0.08,8.03,NA,NA,NA,NA,NA,NA,17.35,61.71,0.59,298.64,0.00,0.00,NA,NA,NA
2022-01-01 09:00:00,62.82,102.28,11.16,9.95,21.11,14.02,8.87,0.00,7.39,NA,NA,NA,NA,NA,NA,18.93,57.90,0.74,303.34,0.00,0.00,NA,NA,NA
2022-01-01 10:00:00,56.30,94.50,10.98,10.02,21.00,13.81,8.98,0.00,8.68,NA,NA,NA,NA,NA,NA,20.37,54.90,0.55,307.52,0.00,0.00,NA,NA,NA
2022-01-01 11:00:00,54.45,91.55,11.07,10.00,21.07,13.90,8.87,0.00,10.54,NA,NA,NA,NA,NA,NA,22.18,51.27,0.50,262.96,0.00,0.00,NA,NA,NA
2022-01-01 12:00:00,60.08,101.85,11.20,9.96,21.16,14.02,8.73,0.00,10.70,NA,NA,NA,NA,NA,NA,23.68,48.68,0.48,261.08,0.00,0.00,NA,NA,NA
2022-01-01 13:00:00,60.62,102.15,11.28,9.98,21.26,14.12,8.76,0.01,11.68,NA,NA,NA,NA,NA,NA,25.07,46.32,0.34,294.74,0.00,0.00,NA,NA,NA
2022-01-01 14:00:00,55.48,91.48,11.17,9.99,21.16,13.96,8.74,0.00,12.04,NA,NA,NA,NA,NA,NA,26.13,44.81,0.43,305.16,0.00,0.00,NA,NA,NA
2022-01-01 15:00:00,65.45,108.05,11.24,10.02,21.26,13.98,9.07,0.00,11.49,NA,NA,NA,NA,NA,NA,26.10,46.14,0.33,292.62,0.00,0.00,NA,NA,NA
2022-01-01 16:00:00,59.60,98.57,10.99,9.96,20.95,13.92,8.80,0.30,11.40,NA,NA,NA,NA,NA,NA,25.56,48.81,0.28,241.13,0.00,0.00,NA,NA,NA
2022-01-01 17:00:00,80.62,130.80,11.19,9.91,21.10,14.04,8.56,0.26,9.69,NA,NA,NA,NA,NA,NA,24.18,54.49,0.16,247.35,0.00,0.00,NA,NA,NA
2022-01-01 18:00:00,105.10,168.32,11.28,10.00,21.28,14.20,8.68,0.00,8.72,NA,NA,NA,NA,NA,NA,21.88,65.76,0.12,210.87,0.00,0.00,NA,NA,NA
2022-01-01 19:00:00,103.62,163.80,11.04,10.04,21.08,13.91,8.62,0.00,8.20,NA,NA,NA,NA,NA,NA,20.41,73.64,0.08,208.12,0.00,0.00,NA,NA,NA
2022-01-01 20:00:00,98.75,153.15,11.09,9.99,21.09,13.88,8.94,0.00,7.26,NA,NA,NA,NA,NA,NA,19.63,78.45,0.09,198.82,0.00,0.00,NA,NA,NA
2022-01-01 21:00:00,129.32,198.90,10.99,9.98,20.96,13.84,8.48,0.08,6.92,NA,NA,NA,NA,NA,NA,19.24,80.51,0.10,211.34,0.00,0.00,NA,NA,NA
2022-01-01 22:00:00,116.20,176.50,11.16,10.02,21.17,13.89,8.74,0.26,6.75,NA,NA,NA,NA,NA,NA,18.63,85.12,0.10,195.61,0.00,0.00,NA,NA,NA
2022-01-01 23:00:00,152.57,229.50,10.89,10.03,20.93,13.69,8.88,0.00,6.68,NA,NA,NA,NA,NA,NA,18.01,88.71,0.10,191.87,0.00,0.00,NA,NA,NA
2022-01-02 00:00:00,110.65,167.30,11.16,9.96,21.12,14.03,8.85,0.03,7.07,NA,NA,NA,NA,NA,NA,17.49,91.18,0.17,211.94,0.00,0.00,NA,NA,NA
2022-01-02 01:00:00,101.32,156.82,11.20,10.00,21.20,14.03,8.91,0.04,7.10,NA,NA,NA,NA,NA,NA,17.07,93.61,0.10,181.51,0.00,0.00,NA,NA,NA
2022-01-02 02:00:00,87.82,133.88,11.17,9.93,21.10,14.01,8.95,0.12,7.00,NA,NA,NA,NA,NA,NA,17.22,91.07,0.14,201.89,0.00,0.00,NA,NA,NA
2022-01-02 03:00:00,68.90,111.43,10.90,10.00,20.90,13.90,8.93,0.03,8.17,NA,NA,NA,NA,NA,NA,18.69,77.32,0.33,270.58,0.00,0.00,NA,NA,NA
2022-01-02 04:00:00,61.75,103.55,11.07,10.06,21.12,14.00,8.69,0.00,7.29,NA,NA,NA,NA,NA,NA,18.29,77.95,0.21,264.59,0.00,0.00,NA,NA,NA
2022-01-02 05:00:00,81.30,131.62,11.21,9.90,21.11,14.09,8.53,0.00,6.83,NA,NA,NA,NA,NA,NA,18.10,78.13,0.23,283.92,0.00,0.00,NA,NA,NA
2022-01-02 06:00:00,55.75,90.95,11.48,9.80,21.29,14.24,8.65,0.00,7.84,NA,NA,NA,NA,NA,NA,17.67,79.21,0.29,260.58,0.00,0.00,NA,NA,NA
2022-01-02 07:00:00,58.78,91.90,11.34,9.93,21.28,14.11,8.74,0.09,6.66,NA,NA,NA,NA,NA,NA,17.34,80.34,0.24,276.74,0.00,0.00,NA,NA,NA
2022-01-02 08:00:00,72.80,116.72,11.32,9.90,21.22,14.14,8.72,0.00,6.91,NA,NA,NA,NA,NA,NA,18.15,75.40,0.37,290.30,0.00,0.00,NA,NA,NA
2022-01-02 09:00:00,73.10,116.00,11.24,10.01,21.26,14.11,9.00,0.00,7.11,NA,NA,NA,NA,NA,NA,19.86,68.52,0.49,281.59,0.00,0.00,NA,NA,NA
2022-01-02 10:00:00,82.72,133.27,11.10,9.97,21.07,13.99,8.66,0.00,7.73,NA,NA,NA,NA,NA,NA,21.69,62.70,0.57,278.11,0.00,0.00,NA,NA,NA
2022-01-02 11:00:00,73.75,122.02,11.11,9.99,21.10,13.92,8.85,0.00,8.98,NA,NA,NA,NA,NA,NA,23.46,56.54,0.55,264.85,0.00,0.00,NA,NA,NA
2022-01-02 12:00:00,69.18,115.42,11.36,9.91,21.28,14.21,8.65,0.00,9.92,NA,NA,NA,NA,NA,NA,25.14,51.41,0.39,299.14,0.00,0.00,NA,NA,NA
2022-01-02 13:00:00,72.47,120.10,11.05,10.04,21.08,13.80,8.92,0.00,10.67,NA,NA,NA,NA,NA,NA,26.62,47.60,0.32,289.70,0.00,0.00,NA,NA,NA
2022-01-02 14:00:00,59.90,103.55,11.03,9.98,21.01,13.92,9.02,0.00,11.17,NA,NA,NA,NA,NA,NA,27.18,46.17,0.39,298.96,0.00,0.00,NA,NA,NA
2022-01-02 15:00:00,55.65,97.82,11.09,9.98,21.06,13.96,8.94,0.00,11.20,NA,NA,NA,NA,NA,NA,27.42,45.58,0.34,231.90,0.00,0.00,NA,NA,NA
2022-01-02 16:00:00,71.60,117.22,10.95,10.00,20.94,13.90,8.83,0.00,9.92,NA,NA,NA,NA,NA,NA,26.80,48.14,0.27,282.08,0.00,0.00,NA,NA,NA
2022-01-02 17:00:00,76.20,125.72,11.04,10.00,21.04,13.90,8.73,0.00,9.24,NA,NA,NA,NA,NA,NA,25.39,53.03,0.37,250.42,0.00,0.00,NA,NA,NA
2022-01-02 18:00:00,91.02,148.55,11.04,10.00,21.03,13.88,8.78,0.00,9.40,NA,NA,NA,NA,NA,NA,23.30,62.45,0.32,226.16,0.00,0.00,NA,NA,NA
2022-01-02 19:00:00,106.70,172.75,10.94,9.99,20.93,13.86,8.86,0.00,8.73,NA,NA,NA,NA,NA,NA,21.38,72.36,0.18,205.76,0.00,0.00,NA,NA,NA
2022-01-02 20:00:00,85.02,132.12,11.14,9.99,21.13,14.07,8.70,0.00,8.06,NA,NA,NA,NA,NA,NA,20.36,77.99,0.10,202.90,0.00,0.00,NA,NA,NA
2022-01-02 21:00:00,119.22,181.80,11.14,9.89,21.03,13.94,8.96,0.00,7.20,NA,NA,NA,NA,NA,NA,19.56,84.70,0.10,194.42,0.00,0.00,NA,NA,NA
