Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2026-01-01 00:00:00,83.0,180.0,53.0,23.5,25.25,70.0,2.0,0.0,3.75,NA,NA,NA,NA,NA,NA,NA,72.75,0.0,264.5,NA,NA,NA,981.0,NA
2026-01-01 01:00:00,84.0,158.5,51.0,22.0,22.5,68.13,2.0,0.0,5.25,NA,NA,NA,NA,NA,NA,NA,75.25,0.0,277.5,NA,NA,NA,981.0,NA
2026-01-01 02:00:00,79.0,132.75,49.5,21.25,21.38,66.25,1.25,0.0,5.75,NA,NA,NA,NA,NA,NA,NA,78.0,0.0,238.75,NA,NA,NA,981.0,NA
2026-01-01 03:00:00,64.0,106.75,48.75,19.25,19.88,65.0,1.0,0.0,5.25,NA,NA,NA,NA,NA,NA,NA,82.0,0.0,259.25,NA,NA,NA,981.0,NA
2026-01-01 04:00:00,70.75,114.0,48.88,19.0,19.25,65.5,1.0,0.0,4.5,NA,NA,NA,NA,NA,NA,NA,90.25,0.0,270.5,NA,NA,NA,981.0,NA
2026-01-01 05:00:00,74.5,128.75,49.13,18.5,19.13,65.5,1.0,0.0,3.38,NA,NA,NA,NA,NA,NA,NA,95.25,0.0,258.25,NA,NA,NA,981.75,NA
2026-01-01 06:00:00,55.5,95.75,49.75,19.5,20.25,66.63,1.0,0.0,2.25,NA,NA,NA,NA,NA,NA,NA,99.0,0.0,233.5,NA,NA,NA,982.0,NA
2026-01-01 07:00:00,51.25,89.75,50.0,18.5,20.25,66.38,1.0,0.0,1.75,NA,NA,NA,NA,NA,NA,NA,99.0,0.0,262.25,NA,NA,NA,983.25,NA
2026-01-01 08:00:00,54.5,96.0,52.25,20.25,22.63,68.88,2.0,0.0,2.0,NA,NA,NA,NA,NA,NA,NA,98.75,0.0,252.5,NA,NA,NA,984.0,NA
2026-01-01 09:00:00,53.25,93.0,51.63,20.25,22.25,68.25,1.75,0.0,6.5,NA,NA,NA,NA,NA,NA,NA,83.75,0.0,197.0,NA,NA,NA,984.25,NA
2026-01-01 10:00:00,45.75,78.75,49.25,17.75,18.63,66.13,2.25,0.0,12.75,NA,NA,NA,NA,NA,NA,NA,66.25,0.0,174.5,NA,NA,NA,984.0,NA
2026-01-01 11:00:00,46.25,82.25,46.75,15.25,15.25,63.25,3.75,0.0,18.5,NA,NA,NA,NA,NA,NA,NA,57.5,0.0,96.0,NA,NA,NA,984.0,NA
2026-01-01 12:00:00,42.25,74.0,43.75,14.0,13.38,59.75,3.75,0.0,23.13,NA,NA,NA,NA,NA,NA,NA,50.25,0.0,61.75,NA,NA,NA,983.25,NA
2026-01-01 13:00:00,39.25,69.0,42.63,13.5,12.63,58.13,3.5,0.0,22.88,NA,NA,NA,NA,NA,NA,NA,45.5,0.0,64.5,NA,NA,NA,982.25,NA
2026-01-01 14:00:00,38.0,65.75,41.5,12.5,12.13,56.5,3.0,0.0,26.0,NA,NA,NA,NA,NA,NA,NA,42.75,0.0,60.75,NA,NA,NA,981.25,NA
2026-01-01 15:00:00,36.75,63.5,42.38,13.25,12.5,57.63,3.0,0.0,20.63,NA,NA,NA,NA,NA,NA,NA,45.25,0.0,79.5,NA,NA,NA,981.0,NA
2026-01-01 16:00:00,34.75,60.75,42.63,13.25,12.75,58.0,2.0,0.0,18.88,NA,NA,NA,NA,NA,NA,NA,45.25,0.0,124.25,NA,NA,NA,981.25,NA
2026-01-01 17:00:00,27.25,46.75,44.5,15.0,14.38,60.38,2.0,0.0,13.25,NA,NA,NA,NA,NA,NA,NA,51.0,0.0,277.0,NA,NA,NA,982.0,NA
2026-01-01 18:00:00,25.75,44.5,48.75,20.0,18.88,65.88,1.75,0.0,6.63,NA,NA,NA,NA,NA,NA,NA,59.25,0.0,313.5,NA,NA,NA,983.0,NA
2026-01-01 19:00:00,34.75,58.75,49.13,19.0,18.88,66.0,1.25,0.0,7.38,NA,NA,NA,NA,NA,NA,NA,63.0,0.0,321.25,NA,NA,NA,983.75,NA
2026-01-01 20:00:00,43.25,74.25,48.75,19.25,19.0,65.75,1.0,0.0,7.75,NA,NA,NA,NA,NA,NA,NA,65.0,0.0,320.25,NA,NA,NA,984.75,NA
2026-01-01 21:00:00,42.5,72.25,46.75,18.75,18.75,63.13,1.5,0.0,9.25,NA,NA,NA,NA,NA,NA,NA,63.5,0.0,298.0,NA,NA,NA,985.0,NA
2026-01-01 22:00:00,43.25,70.25,46.88,18.0,17.88,63.25,2.0,0.0,7.75,NA,NA,NA,NA,NA,NA,NA,68.25,0.0,287.25,NA,NA,NA,985.0,NA
2026-01-01 23:00:00,57.25,97.25,46.63,17.5,17.5,63.0,2.25,0.0,6.63,NA,NA,NA,NA,NA,NA,NA,75.25,0.0,287.75,NA,NA,NA,985.0,NA
2026-01-02 00:00:00,50.25,86.0,46.75,16.5,17.0,62.75,2.0,0.0,4.25,NA,NA,NA,NA,NA,NA,NA,82.5,0.0,278.75,NA,NA,NA,985.0,NA
2026-01-02 01:00:00,43.75,75.5,46.75,16.5,17.25,62.38,1.5,0.0,3.13,NA,NA,NA,NA,NA,NA,NA,90.25,0.0,265.0,NA,NA,NA,984.5,NA
2026-01-02 02:00:00,42.75,73.5,47.13,18.25,18.88,62.88,1.0,0.0,1.63,NA,NA,NA,NA,NA,NA,NA,95.5,0.0,273.5,NA,NA,NA,985.0,NA
2026-01-02 03:00:00,41.75,71.5,47.25,19.25,20.0,63.13,1.0,0.0,1.13,NA,NA,NA,NA,NA,NA,NA,95.0,0.0,273.75,NA,NA,NA,985.0,NA
2026-01-02 04:00:00,36.25,59.0,46.5,19.5,20.13,62.25,1.0,0.0,2.88,NA,NA,NA,NA,NA,NA,NA,89.0,0.0,291.75,NA,NA,NA,985.0,NA
2026-01-02 05:00:00,46.5,73.5,44.5,17.5,18.13,59.38,1.0,0.0,4.0,NA,NA,NA,NA,NA,NA,NA,89.75,0.0,288.0,NA,NA,NA,985.0,NA
2026-01-02 06:00:00,49.25,78.0,45.5,19.25,21.13,60.0,0.75,0.0,1.5,NA,NA,NA,NA,NA,NA,NA,91.25,0.0,292.0,NA,NA,NA,986.0,NA
2026-01-02 07:00:00,56.0,90.0,49.88,22.0,26.13,64.5,0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,89.0,0.0,272.75,NA,NA,NA,986.5,NA
2026-01-02 08:00:00,57.5,97.0,60.5,33.25,39.5,77.38,1.0,NA,0.75,NA,NA,NA,NA,NA,NA,NA,73.75,0.0,227.5,NA,NA,NA,987.25,NA
2026-01-02 09:00:00,68.5,118.0,47.63,28.5,30.0,62.13,1.0,NA,9.88,NA,NA,NA,NA,NA,NA,NA,50.0,0.0,96.75,NA,NA,NA,988.0,NA
2026-01-02 10:00:00,61.0,101.25,40.63,22.0,21.38,54.25,1.25,0.0,23.13,NA,NA,NA,NA,NA,NA,NA,48.75,0.0,148.75,NA,NA,NA,987.75,NA
2026-01-02 11:00:00,83.0,171.25,41.5,20.5,18.75,56.0,2.0,0.0,25.75,NA,NA,NA,NA,NA,NA,NA,47.5,0.0,84.75,NA,NA,NA,987.0,NA
