Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2026-01-01 00:00:00,64.25,136.75,1.5,20.0,12.25,49.75,14.0,0.0,22.0,NA,NA,NA,NA,NA,NA,17.75,55.75,0.0,213.67,0.0,0.0,NA,989.0,NA
2026-01-01 01:00:00,62.25,211.0,0.25,20.25,11.5,50.75,13.75,0.0,21.0,NA,NA,NA,NA,NA,NA,17.0,62.5,0.0,236.5,0.0,0.0,NA,988.0,NA
2026-01-01 02:00:00,80.0,208.5,0.5,17.25,10.0,52.0,13.25,0.0,19.5,NA,NA,NA,NA,NA,NA,17.0,67.75,0.0,256.75,0.0,0.0,NA,988.0,NA
2026-01-01 03:00:00,58.75,117.5,2.0,12.0,8.5,51.5,12.75,0.0,14.25,NA,NA,NA,NA,NA,NA,17.0,73.0,0.0,278.5,0.0,0.0,NA,988.0,NA
2026-01-01 04:00:00,49.25,90.75,2.0,13.0,8.75,52.25,13.25,0.0,12.75,NA,NA,NA,NA,NA,NA,16.0,76.75,0.0,293.0,0.0,0.0,NA,986.5,NA
2026-01-01 05:00:00,30.25,54.25,1.25,11.0,7.0,45.75,13.0,0.0,11.75,NA,NA,NA,NA,NA,NA,16.0,76.0,0.0,291.5,0.0,0.0,NA,985.0,NA
2026-01-01 06:00:00,33.5,63.0,0.0,11.5,6.75,45.0,11.75,0.0,8.75,NA,NA,NA,NA,NA,NA,16.0,75.25,0.0,294.75,0.0,0.0,NA,983.75,NA
2026-01-01 07:00:00,31.25,59.0,0.75,12.75,7.75,50.75,10.25,0.0,7.0,NA,NA,NA,NA,NA,NA,15.0,76.0,0.0,299.75,0.0,0.0,NA,981.75,NA
2026-01-01 08:00:00,30.5,59.0,2.25,13.5,9.5,54.25,8.33,0.0,7.75,NA,NA,NA,NA,NA,NA,16.5,74.0,0.0,318.33,0.0,0.0,NA,985.25,NA
2026-01-01 09:00:00,50.25,98.0,2.75,14.75,10.5,56.25,9.25,0.0,13.25,NA,NA,NA,NA,NA,NA,19.75,70.25,0.0,328.75,0.0,0.0,NA,989.5,NA
2026-01-01 10:00:00,61.75,122.75,1.25,12.5,7.5,49.5,10.0,0.0,19.25,NA,NA,NA,NA,NA,NA,22.25,68.5,0.0,324.5,0.0,0.0,NA,990.75,NA
2026-01-01 11:00:00,33.25,65.5,0.25,9.75,5.5,46.0,8.75,0.0,25.0,NA,NA,NA,NA,NA,NA,24.5,70.25,0.0,314.25,0.0,0.0,NA,992.25,NA
2026-01-01 12:00:00,36.25,77.0,1.0,8.5,5.5,49.5,8.25,0.0,30.5,NA,NA,NA,NA,NA,NA,25.25,68.75,0.0,319.0,0.0,0.0,NA,992.5,NA
2026-01-01 13:00:00,33.5,74.25,2.0,7.5,6.0,50.75,6.0,0.0,34.75,NA,NA,NA,NA,NA,NA,27.25,63.75,0.0,222.67,0.0,0.0,NA,993.0,NA
