Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,38.33,139.43,5.72,7.84,30.06,17.16,1.68,1.0,1.56,,,,,,,21.88,63.54,0.07,221.08,0.0,0.0,,,
2024-01-01 01:00:00,45.08,156.07,5.59,8.02,30.15,17.24,1.55,0.95,1.1,,,,,,,21.52,66.7,0.06,307.56,0.0,0.0,,,
2024-01-01 02:00:00,46.1,162.28,5.68,7.84,26.92,17.18,1.84,0.9,0.95,,,,,,,20.68,74.22,0.07,285.73,0.0,0.0,,,
2024-01-01 03:00:00,38.85,143.1,5.59,7.84,26.3,17.21,1.19,0.81,1.96,,,,,,,20.76,74.78,0.08,333.58,0.0,0.0,,,
2024-01-01 04:00:00,33.45,124.15,5.7,7.97,30.24,16.91,2.72,0.8,1.66,,,,,,,21.12,69.59,0.09,311.32,0.0,0.0,,,
2024-01-01 05:00:00,28.52,102.7,5.6,7.83,29.78,16.92,2.52,0.67,2.51,,,,,,,20.59,72.9,0.08,320.63,0.0,0.0,,,
2024-01-01 06:00:00,26.3,94.1,5.68,7.78,30.08,17.02,2.57,0.64,2.88,,,,,,,20.5,70.44,0.08,344.04,0.0,0.0,,,
2024-01-01 07:00:00,26.1,94.62,5.65,7.78,29.69,17.21,2.75,0.75,2.78,,,,,,,20.5,69.74,0.08,334.63,0.0,0.0,,,
2024-01-01 08:00:00,27.7,97.75,5.7,7.65,29.9,17.28,3.01,0.75,3.49,,,,,,,21.0,66.86,0.08,342.55,0.0,0.0,,,
2024-01-01 09:00:00,31.45,107.15,5.69,7.69,30.5,17.16,3.44,0.6,5.38,,,,,,,22.84,57.78,0.08,345.61,0.0,0.0,,,
2024-01-01 10:00:00,32.58,112.82,5.66,7.83,30.08,16.98,1.63,0.52,8.16,,,,,,,24.85,50.82,0.08,340.82,0.0,0.0,,,
2024-01-01 11:00:00,30.55,106.88,5.6,7.88,30.11,17.2,1.95,0.44,10.32,,,,,,,26.78,45.49,0.07,261.18,0.0,0.0,,,
2024-01-01 12:00:00,30.08,108.78,5.68,7.81,30.12,17.04,2.06,0.42,13.22,,,,,,,27.99,42.49,0.07,324.94,0.0,0.0,,,
2024-01-01 13:00:00,30.85,118.88,5.71,7.84,29.76,17.06,2.34,0.39,16.28,,,,,,,29.2,38.04,0.08,328.66,0.0,0.0,,,
2024-01-01 14:00:00,28.3,112.62,5.63,7.92,29.89,17.26,2.35,0.34,18.02,,,,,,,30.26,30.55,0.06,309.73,0.0,0.0,,,
2024-01-01 15:00:00,26.6,104.38,5.64,7.79,30.31,17.08,2.46,0.37,18.3,,,,,,,30.27,29.66,0.07,326.6,0.0,0.0,,,
2024-01-01 16:00:00,26.42,103.1,5.72,7.81,30.29,16.96,1.06,0.36,18.02,,,,,,,29.68,31.12,0.08,327.54,0.0,0.0,,,
2024-01-01 17:00:00,25.32,98.42,5.69,7.68,30.2,17.09,1.05,0.38,14.94,,,,,,,28.5,39.15,0.08,332.26,0.0,0.0,,,
2024-01-01 18:00:00,25.48,101.32,5.7,7.89,30.16,16.99,1.49,0.59,7.6,,,,,,,26.83,47.36,0.09,306.94,0.0,0.0,,,
2024-01-01 19:00:00,28.55,113.32,5.66,7.81,30.32,16.98,2.71,1.54,2.95,,,,,,,25.4,56.01,0.08,307.87,0.0,0.0,,,
2024-01-01 20:00:00,33.07,131.35,5.63,7.9,30.36,17.21,2.82,1.68,2.72,,,,,,,25.08,58.12,0.09,320.82,0.0,0.0,,,
2024-01-01 21:00:00,38.78,156.72,5.64,7.75,30.22,17.06,2.47,0.98,4.82,,,,,,,24.6,58.18,0.08,318.43,0.0,0.0,,,
2024-01-01 22:00:00,39.3,158.45,5.72,7.85,30.28,16.99,2.08,0.73,6.43,,,,,,,23.93,57.55,0.07,345.2,0.0,0.0,,,
2024-01-01 23:00:00,32.97,133.17,5.73,7.94,30.71,17.14,1.91,0.57,6.56,,,,,,,23.15,59.11,0.08,343.83,0.0,0.0,,,
2024-01-02 00:00:00,25.32,102.1,5.72,7.96,30.48,17.01,1.32,0.58,6.25,,,,,,,22.21,62.65,0.08,344.26,0.0,0.0,,,
2024-01-02 01:00:00,25.8,103.35,5.72,7.79,30.4,17.24,0.77,0.53,4.84,,,,,,,21.58,65.58,0.08,347.16,0.0,0.0,,,
2024-01-02 02:00:00,23.92,96.35,5.71,7.77,30.22,17.23,1.41,0.56,4.32,,,,,,,21.06,67.12,0.08,342.78,0.0,0.0,,,
2024-01-02 03:00:00,22.7,91.8,5.71,7.83,29.85,17.13,1.07,0.61,3.21,,,,,,,20.62,68.41,0.08,348.8,0.0,0.0,,,
2024-01-02 04:00:00,22.35,90.82,5.69,7.75,30.34,17.33,2.66,0.5,2.67,,,,,,,20.24,69.89,0.08,346.6,0.0,0.0,,,
2024-01-02 05:00:00,21.15,85.58,5.72,7.78,29.91,17.22,3.1,0.5,4.03,,,,,,,20.07,69.57,0.08,342.75,0.0,0.0,,,
2024-01-02 06:00:00,20.07,82.9,5.73,7.87,30.79,16.97,2.86,0.53,5.43,,,,,,,19.81,69.92,0.09,345.19,0.0,0.0,,,
2024-01-02 07:00:00,22.4,89.48,5.7,7.81,30.45,17.15,2.5,0.55,4.82,,,,,,,19.45,70.81,0.08,343.98,0.0,0.0,,,
2024-01-02 08:00:00,22.42,85.7,5.68,7.94,29.78,16.92,2.32,0.6,4.29,,,,,,,19.99,67.89,0.08,346.93,0.0,0.0,,,
2024-01-02 09:00:00,23.48,91.0,5.73,7.9,30.34,17.32,2.19,0.5,6.0,,,,,,,21.33,60.27,0.08,343.26,0.0,0.0,,,
2024-01-02 10:00:00,24.08,93.0,5.64,7.77,30.31,17.3,2.69,0.36,8.4,,,,,,,23.0,53.7,0.08,342.46,0.0,0.0,,,
2024-01-02 11:00:00,22.38,86.95,5.6,7.85,30.4,17.0,3.55,0.27,11.7,,,,,,,24.51,49.84,0.08,344.32,0.0,0.0,,,
2024-01-02 12:00:00,22.25,88.08,5.62,7.81,30.36,17.07,3.4,0.28,13.6,,,,,,,25.93,46.83,0.08,341.92,0.0,0.0,,,
2024-01-02 13:00:00,23.35,92.92,5.68,7.81,30.38,17.07,3.78,0.28,15.12,,,,,,,26.9,45.06,0.07,333.28,0.0,0.0,,,
2024-01-02 14:00:00,24.28,95.98,5.64,7.74,30.3,17.21,4.15,0.3,14.82,,,,,,,27.72,43.69,0.07,255.14,0.0,0.0,,,
2024-01-02 15:00:00,24.7,97.18,5.64,7.86,30.58,17.19,3.96,0.35,14.96,,,,,,,27.75,44.53,0.08,348.49,0.0,0.0,,,
2024-01-02 16:00:00,23.7,98.23,5.62,7.8,29.96,17.08,2.3,0.39,15.06,,,,,,,27.1,46.81,0.08,348.62,0.0,0.0,,,
2024-01-02 17:00:00,23.02,95.02,5.72,7.78,30.06,17.32,2.28,0.38,12.42,,,,,,,26.01,51.31,0.08,340.86,0.0,0.0,,,
