station_id,station_name,agency,year,start_datetime,end_datetime,expected_hours,observed_hours,valid_pm25,missing_pm25,completeness_pct,pm25_units,temporal_resolution,source_file,sha256,qc_status
site_5453,Chandkheda,IITM,2022,2022-01-01 00:00:00,2022-12-31 23:00:00,8760,8760,4312,4448,49.22,µg/m³,Hourly,data/PM2.5 data/Chandkheda/raw_data_hourly_chandkheda,_ahmedabad_-_iitm_1H (4).csv,NA,INVALID
site_5453,Chandkheda,IITM,2023,2023-01-01 00:00:00,2023-12-31 23:00:00,8760,8760,7662,1098,87.47,µg/m³,Hourly,data/PM2.5 data/Chandkheda/raw_data_hourly_chandkheda,_ahmedabad_-_iitm_1H (3).csv,NA,VALID_WITH_MISSING
site_5453,Chandkheda,IITM,2024,2024-01-01 00:00:00,2024-12-31 23:00:00,8784,8784,8546,238,97.29,µg/m³,Hourly,data/PM2.5 data/Chandkheda/raw_data_hourly_chandkheda,_ahmedabad_-_iitm_1H (1).csv,NA,VALID
site_5453,Chandkheda,IITM,2025,2025-01-01 00:00:00,2025-12-31 23:00:00,8760,8760,8514,246,97.19,µg/m³,Hourly,data/PM2.5 data/Chandkheda/raw_data_hourly_chandkheda,_ahmedabad_-_iitm_1H.csv,NA,VALID
site_5453,Chandkheda,IITM,2026,2026-01-01 00:00:00,2026-08-31 23:00:00,5088,5088,4830,258,94.93,µg/m³,Hourly,data/PM2.5 data/Chandkheda/raw_data_hourly_chandkheda,_ahmedabad_-_iitm_1H (4).csv,NA,VALID
site_5450,Gyaspur,IITM,2022,2022-01-01 00:00:00,2022-12-31 23:00:00,8760,8760,8433,327,96.27,µg/m³,Hourly,data/PM2.5 data/gyaspur/raw_data_hourly_gyaspur,_ahmedabad_-_iitm_1H (4).csv,NA,VALID
site_5450,Gyaspur,IITM,2023,2023-01-01 00:00:00,2023-12-31 23:00:00,8760,8760,8124,636,92.74,µg/m³,Hourly,data/PM2.5 data/gyaspur/raw_data_hourly_gyaspur,_ahmedabad_-_iitm_1H (3).csv,NA,VALID
site_5450,Gyaspur,IITM,2024,2024-01-01 00:00:00,2024-12-31 23:00:00,8784,8784,8128,656,92.53,µg/m³,Hourly,data/PM2.5 data/gyaspur/raw_data_hourly_gyaspur,_ahmedabad_-_iitm_1H (2).csv,NA,VALID
site_5450,Gyaspur,IITM,2025,2025-01-01 00:00:00,2025-12-31 23:00:00,8760,8760,7720,1040,88.13,µg/m³,Hourly,data/PM2.5 data/gyaspur/raw_data_hourly_gyaspur,_ahmedabad_-_iitm_1H (1).csv,NA,VALID_WITH_MISSING
site_5450,Gyaspur,IITM,2026,2026-01-01 00:00:00,2026-08-31 23:00:00,5088,5088,4830,258,94.93,µg/m³,Hourly,data/PM2.5 data/gyaspur/raw_data_hourly_gyaspur,_ahmedabad_-_iitm_1H..csv,NA,VALID
