source_file,station_name,agency,year,month,file_size,sha256,spatial_level,path
"aqi_hourly_station_level_chandkheda,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx","chandkheda, ahmedabad",IITM,2025,January,8527,5413b9f497e8a2c685b9295b449e401ed0614d2c12132220d75a9d1a2f5ade45,STATION,"C:\Users\DELL\Desktop\Agnirakshak opencode\aqi_hourly_station_level_chandkheda,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx"
"aqi_hourly_station_level_gyaspur,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx","gyaspur, ahmedabad",IITM,2025,January,8655,b0b306634d209caaf69c7a7d6040fbcbe3d890397970ea45aad0cd0cb7c9334d,STATION,"C:\Users\DELL\Desktop\Agnirakshak opencode\aqi_hourly_station_level_gyaspur,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx"
"aqi_hourly_station_level_maninagar,_ahmedabad_-_gpcb_2025_January_ahmedabad_2025.xlsx","maninagar, ahmedabad",GPCB,2025,January,8523,cc63cb2df2ab59f83325a073f61f8ffd80bd4102376f832fd64615b838540a2c,STATION,"C:\Users\DELL\Desktop\Agnirakshak opencode\aqi_hourly_station_level_maninagar,_ahmedabad_-_gpcb_2025_January_ahmedabad_2025.xlsx"
"aqi_hourly_station_level_raikhad,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx","raikhad, ahmedabad",IITM,2025,January,8563,af240bfe522888de71efb10de2fab32f5bf8dd4f345b51d14095df23c04266ec,STATION,"C:\Users\DELL\Desktop\Agnirakshak opencode\aqi_hourly_station_level_raikhad,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx"
"aqi_hourly_station_level_rakhial,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx","rakhial, ahmedabad",IITM,2025,January,8594,8a3345bf769358ef9e76f59b3d7a8bdc16c6423f0da592d02147a711291bec50,STATION,"C:\Users\DELL\Desktop\Agnirakshak opencode\aqi_hourly_station_level_rakhial,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx"
"aqi_hourly_station_level_sac_isro_bopal,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx","sac isro bopal, ahmedabad",IITM,2025,January,8573,91c30dda2b4fe33c0e2fbcb21ade87607dfa1c50bd61516e9c02bc5a6c4b937f,STATION,"C:\Users\DELL\Desktop\Agnirakshak opencode\aqi_hourly_station_level_sac_isro_bopal,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx"
"aqi_hourly_station_level_sac_isro_satellite,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx","sac isro satellite, ahmedabad",IITM,2025,January,8491,7a9e35c2c0f2fc57f79591fbcc93d342052678f156ddffaf86730a8b7f1960c7,STATION,"C:\Users\DELL\Desktop\Agnirakshak opencode\aqi_hourly_station_level_sac_isro_satellite,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx"
"aqi_hourly_station_level_sardar_vallabhbhai_patel_stadium,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx","sardar vallabhbhai patel stadium, ahmedabad",IITM,2025,January,8526,f37a845b9ab32f1392532b7a395ecacfd706397a1d6a67f5e47a81889d1673c1,STATION,"C:\Users\DELL\Desktop\Agnirakshak opencode\aqi_hourly_station_level_sardar_vallabhbhai_patel_stadium,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx"
"aqi_hourly_station_level_svpi_airport_hansol,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx","svpi airport hansol, ahmedabad",IITM,2025,January,8680,8d37819d9a909a060270d34af3a1e920637ccc1312454489763e9748d80747d3,STATION,"C:\Users\DELL\Desktop\Agnirakshak opencode\aqi_hourly_station_level_svpi_airport_hansol,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx"
aqi_hourly_city_level__2025_April_ahmedabad_2025.xlsx,Ahmedabad City,CPCB,2025,April,7810,f328157196dd2f56e9aa538f01c7340d3dee84220be1f35270429ba96601f349,CITY,C:\Users\DELL\Desktop\Agnirakshak opencode\data\raw\aqi\aqi_hourly_city_level__2025_April_ahmedabad_2025.xlsx
aqi_hourly_city_level__2025_February_ahmedabad_2025.xlsx,Ahmedabad City,CPCB,2025,February,7677,93ff0d624c1b1b22436a6a9d8b7d02d94e096662471d555b173803e9e1a9a8d7,CITY,C:\Users\DELL\Desktop\Agnirakshak opencode\data\raw\aqi\aqi_hourly_city_level__2025_February_ahmedabad_2025.xlsx
aqi_hourly_city_level__2025_January_ahmedabad_2025.xlsx,Ahmedabad City,CPCB,2025,January,7900,d9d5c6167364cca6bececc2a4f3d2fdc3f89544e220afaab33336fea1dbd1119,CITY,C:\Users\DELL\Desktop\Agnirakshak opencode\data\raw\aqi\aqi_hourly_city_level__2025_January_ahmedabad_2025.xlsx
aqi_hourly_city_level__2025_March_ahmedabad_2025.xlsx,Ahmedabad City,CPCB,2025,March,7964,f5744b088cec2c01357e8be2c98dfb7bf6a31d9a968296cb41d92ea7786fe594,CITY,C:\Users\DELL\Desktop\Agnirakshak opencode\data\raw\aqi\aqi_hourly_city_level__2025_March_ahmedabad_2025.xlsx
aqi_hourly_city_level__2025_May_ahmedabad_2025.xlsx,Ahmedabad City,CPCB,2025,May,7783,a9c5112a607084bd2485f27ff4ecda4f51b47d00b159dbfad9cbf39d02101ca5,CITY,C:\Users\DELL\Desktop\Agnirakshak opencode\data\raw\aqi\aqi_hourly_city_level__2025_May_ahmedabad_2025.xlsx
