station_id,station_name,date,latitude,longitude
site_5450,Gyaspur,2025-01-03,22.977134,72.553024
site_5456,SVPI Airport Hansol,2025-02-24,23.076793,72.627874
site_308,Maninagar,2025-03-29,23.002657,72.591912
site_5453,Chandkheda,2025-04-10,23.107969,72.574648
site_5453,Chandkheda,2025-05-26,23.107969,72.574648
site_5455,SAC ISRO Satellite,2025-06-14,23.023389,72.515201
site_5454,SAC ISRO Bopal,2025-07-25,23.041137,72.456691
site_308,Maninagar,2025-08-29,23.002657,72.591912
site_5454,SAC ISRO Bopal,2025-09-25,23.041137,72.456691
site_5453,Chandkheda,2025-10-10,23.107969,72.574648
