station_id,station_name,date,latitude,longitude,covering_granules,raw_station_aod,raw_station_qa,cloud_mask,cloud_mask_name,land_mask,land_mask_name,adjacency_mask,adjacency_mask_name,aod_quality,aod_quality_name,glint_mask,glint_mask_name,aerosol_model,aerosol_model_name,rule_a_valid,rule_a_neighborhood_valid_count,rule_a_neighborhood_mean_aod,rule_b_valid,rule_b_neighborhood_valid_count,rule_b_neighborhood_mean_aod,rule_c_valid,rule_c_neighborhood_valid_count,rule_c_neighborhood_mean_aod
site_5453,Chandkheda,2025-08-16,23.107969,72.574648,1420,,1283.0,3,Cloudy,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5453,Chandkheda,2025-05-17,23.107969,72.574648,1479,668.0,642.0,2,Possibly Cloudy,0,Land,4,Adjacent to snow,2,Unknown (2),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5451,Rakhial,2025-11-28,23.016834,72.625775,1273,3303.0,1280.0,0,Undefined,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5452,Raikhad,2025-04-09,23.020509,72.579261,1449,501.0,1.0,1,Clear,0,Land,0,Normal/Clear,0,Best quality,0,No glint,0,Background (regional),True,2,0.49875,False,0,,True,2,0.49875
site_308,Maninagar,2025-10-12,23.002657,72.591912,1385,692.5,1.0,1,Clear,0,Land,0,Normal/Clear,0,Best quality,0,No glint,0,Background (regional),True,1,0.6925,False,0,,True,1,0.6925
site_5450,Gyaspur,2025-11-28,22.977134,72.553024,1273,,1282.0,2,Possibly Cloudy,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5455,SAC ISRO Satellite,2025-02-15,23.023389,72.515201,1387,158.0,642.0,2,Possibly Cloudy,0,Land,4,Adjacent to snow,2,Unknown (2),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5449,SVPS Stadium,2025-08-09,23.04307,72.562968,1363,,1283.0,3,Cloudy,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5456,SVPI Airport Hansol,2025-11-19,23.076793,72.627874,1276,629.5,4097.0,1,Clear,0,Land,0,Normal/Clear,0,Best quality,1,Glint detected,0,Background (regional),True,1,0.6295000000000001,False,0,,True,1,0.6295000000000001
site_5456,SVPI Airport Hansol,2025-01-23,23.076793,72.627874,1362,394.0,1280.0,0,Undefined,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_308,Maninagar,2025-11-28,23.002657,72.591912,1273,3232.0,1280.0,0,Undefined,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5455,SAC ISRO Satellite,2025-12-16,23.023389,72.515201,1258,420.0,865.0,1,Clear,0,Land,3,Adjacent to single cloudy pixel,3,1 neighbor cloud,0,No glint,0,Background (regional),False,1,0.42,False,0,,True,2,0.42
