rule,sample_count,valid_station_days,coverage_pct,median_valid_neighborhood_pixels,median_neighborhood_aod,min_neighborhood_aod,max_neighborhood_aod
RULE_A,150,47,31.333333333333336,2.0,0.35625,0.18675,1.1455
RULE_B,150,0,0.0,,,,
RULE_C,150,51,34.0,2.0,0.36124999999999996,0.18675,1.1455
RULE_A_BY_STATION_Chandkheda,17,4,23.52941176470588,,,,
RULE_B_BY_STATION_Chandkheda,17,0,0.0,,,,
RULE_C_BY_STATION_Chandkheda,17,4,23.52941176470588,,,,
RULE_A_BY_STATION_Rakhial,18,1,5.555555555555555,,,,
RULE_B_BY_STATION_Rakhial,18,0,0.0,,,,
RULE_C_BY_STATION_Rakhial,18,2,11.11111111111111,,,,
RULE_A_BY_STATION_Raikhad,15,10,66.66666666666666,,,,
RULE_B_BY_STATION_Raikhad,15,0,0.0,,,,
RULE_C_BY_STATION_Raikhad,15,10,66.66666666666666,,,,
RULE_A_BY_STATION_Maninagar,15,7,46.666666666666664,,,,
RULE_B_BY_STATION_Maninagar,15,0,0.0,,,,
RULE_C_BY_STATION_Maninagar,15,7,46.666666666666664,,,,
RULE_A_BY_STATION_Gyaspur,23,10,43.47826086956522,,,,
RULE_B_BY_STATION_Gyaspur,23,0,0.0,,,,
RULE_C_BY_STATION_Gyaspur,23,10,43.47826086956522,,,,
RULE_A_BY_STATION_SAC ISRO Satellite,18,5,27.77777777777778,,,,
RULE_B_BY_STATION_SAC ISRO Satellite,18,0,0.0,,,,
RULE_C_BY_STATION_SAC ISRO Satellite,18,6,33.33333333333333,,,,
RULE_A_BY_STATION_SVPS Stadium,12,1,8.333333333333332,,,,
RULE_B_BY_STATION_SVPS Stadium,12,0,0.0,,,,
RULE_C_BY_STATION_SVPS Stadium,12,2,16.666666666666664,,,,
RULE_A_BY_STATION_SVPI Airport Hansol,15,3,20.0,,,,
RULE_B_BY_STATION_SVPI Airport Hansol,15,0,0.0,,,,
RULE_C_BY_STATION_SVPI Airport Hansol,15,4,26.666666666666668,,,,
RULE_A_BY_STATION_SAC ISRO Bopal,17,6,35.294117647058826,,,,
RULE_B_BY_STATION_SAC ISRO Bopal,17,0,0.0,,,,
RULE_C_BY_STATION_SAC ISRO Bopal,17,6,35.294117647058826,,,,
RULE_A_BY_MONTH_01,14,5,35.714285714285715,,,,
RULE_B_BY_MONTH_01,14,0,0.0,,,,
RULE_C_BY_MONTH_01,14,5,35.714285714285715,,,,
RULE_A_BY_MONTH_02,15,5,33.33333333333333,,,,
RULE_B_BY_MONTH_02,15,0,0.0,,,,
RULE_C_BY_MONTH_02,15,6,40.0,,,,
RULE_A_BY_MONTH_03,11,7,63.63636363636363,,,,
RULE_B_BY_MONTH_03,11,0,0.0,,,,
RULE_C_BY_MONTH_03,11,7,63.63636363636363,,,,
RULE_A_BY_MONTH_04,14,9,64.28571428571429,,,,
RULE_B_BY_MONTH_04,14,0,0.0,,,,
RULE_C_BY_MONTH_04,14,9,64.28571428571429,,,,
RULE_A_BY_MONTH_05,12,1,8.333333333333332,,,,
RULE_B_BY_MONTH_05,12,0,0.0,,,,
RULE_C_BY_MONTH_05,12,1,8.333333333333332,,,,
RULE_A_BY_MONTH_06,13,0,0.0,,,,
RULE_B_BY_MONTH_06,13,0,0.0,,,,
RULE_C_BY_MONTH_06,13,1,7.6923076923076925,,,,
RULE_A_BY_MONTH_07,10,0,0.0,,,,
RULE_B_BY_MONTH_07,10,0,0.0,,,,
RULE_C_BY_MONTH_07,10,0,0.0,,,,
RULE_A_BY_MONTH_08,14,0,0.0,,,,
RULE_B_BY_MONTH_08,14,0,0.0,,,,
RULE_C_BY_MONTH_08,14,0,0.0,,,,
RULE_A_BY_MONTH_09,11,0,0.0,,,,
RULE_B_BY_MONTH_09,11,0,0.0,,,,
RULE_C_BY_MONTH_09,11,0,0.0,,,,
RULE_A_BY_MONTH_10,14,8,57.14285714285714,,,,
RULE_B_BY_MONTH_10,14,0,0.0,,,,
RULE_C_BY_MONTH_10,14,8,57.14285714285714,,,,
RULE_A_BY_MONTH_11,9,4,44.44444444444444,,,,
RULE_B_BY_MONTH_11,9,0,0.0,,,,
RULE_C_BY_MONTH_11,9,4,44.44444444444444,,,,
RULE_A_BY_MONTH_12,13,8,61.53846153846154,,,,
RULE_B_BY_MONTH_12,13,0,0.0,,,,
RULE_C_BY_MONTH_12,13,10,76.92307692307693,,,,
QA_CATEGORY_No_retrieval_cloudy,76,76,50.66666666666667,,,,
QA_CATEGORY_Unknown_2,21,21,14.000000000000002,,,,
QA_CATEGORY_Best_quality,47,47,31.333333333333336,,,,
QA_CATEGORY_1_neighbor_cloud,3,3,2.0,,,,
QA_CATEGORY_Water_Sediments_detected,1,1,0.6666666666666667,,,,
QA_CATEGORY_>1_neighbor_clouds,2,2,1.3333333333333335,,,,
