station_name,agency,spatial_level,timestamp_local,aqi,source_file,year,month
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000001,96.0,aqi_hourly_city_level__2025_April_ahmedabad_2025.xlsx,2025,April
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000001,141.0,aqi_hourly_city_level__2025_February_ahmedabad_2025.xlsx,2025,February
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000001,110.0,aqi_hourly_city_level__2025_January_ahmedabad_2025.xlsx,2025,January
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000001,154.0,aqi_hourly_city_level__2025_March_ahmedabad_2025.xlsx,2025,March
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000001,112.0,aqi_hourly_city_level__2025_May_ahmedabad_2025.xlsx,2025,May
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000002,96.0,aqi_hourly_city_level__2025_April_ahmedabad_2025.xlsx,2025,April
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000002,105.0,aqi_hourly_city_level__2025_February_ahmedabad_2025.xlsx,2025,February
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000002,92.0,aqi_hourly_city_level__2025_January_ahmedabad_2025.xlsx,2025,January
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000002,138.0,aqi_hourly_city_level__2025_March_ahmedabad_2025.xlsx,2025,March
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000002,111.0,aqi_hourly_city_level__2025_May_ahmedabad_2025.xlsx,2025,May
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000003,146.0,aqi_hourly_city_level__2025_April_ahmedabad_2025.xlsx,2025,April
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000003,129.0,aqi_hourly_city_level__2025_February_ahmedabad_2025.xlsx,2025,February
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000003,95.0,aqi_hourly_city_level__2025_January_ahmedabad_2025.xlsx,2025,January
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000003,148.0,aqi_hourly_city_level__2025_March_ahmedabad_2025.xlsx,2025,March
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000003,109.0,aqi_hourly_city_level__2025_May_ahmedabad_2025.xlsx,2025,May
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000004,187.0,aqi_hourly_city_level__2025_April_ahmedabad_2025.xlsx,2025,April
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000004,138.0,aqi_hourly_city_level__2025_February_ahmedabad_2025.xlsx,2025,February
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000004,131.0,aqi_hourly_city_level__2025_January_ahmedabad_2025.xlsx,2025,January
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000004,130.0,aqi_hourly_city_level__2025_March_ahmedabad_2025.xlsx,2025,March
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000004,116.0,aqi_hourly_city_level__2025_May_ahmedabad_2025.xlsx,2025,May
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000005,122.0,aqi_hourly_city_level__2025_April_ahmedabad_2025.xlsx,2025,April
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000005,108.0,aqi_hourly_city_level__2025_February_ahmedabad_2025.xlsx,2025,February
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000005,130.0,aqi_hourly_city_level__2025_January_ahmedabad_2025.xlsx,2025,January
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000005,138.0,aqi_hourly_city_level__2025_March_ahmedabad_2025.xlsx,2025,March
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000005,111.0,aqi_hourly_city_level__2025_May_ahmedabad_2025.xlsx,2025,May
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000006,142.0,aqi_hourly_city_level__2025_April_ahmedabad_2025.xlsx,2025,April
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000006,124.0,aqi_hourly_city_level__2025_February_ahmedabad_2025.xlsx,2025,February
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000006,110.0,aqi_hourly_city_level__2025_January_ahmedabad_2025.xlsx,2025,January
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000006,145.0,aqi_hourly_city_level__2025_March_ahmedabad_2025.xlsx,2025,March
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000006,111.0,aqi_hourly_city_level__2025_May_ahmedabad_2025.xlsx,2025,May
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000007,111.0,aqi_hourly_city_level__2025_April_ahmedabad_2025.xlsx,2025,April
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000007,111.0,aqi_hourly_city_level__2025_February_ahmedabad_2025.xlsx,2025,February
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000007,103.0,aqi_hourly_city_level__2025_January_ahmedabad_2025.xlsx,2025,January
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000007,148.0,aqi_hourly_city_level__2025_March_ahmedabad_2025.xlsx,2025,March
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000007,58.0,aqi_hourly_city_level__2025_May_ahmedabad_2025.xlsx,2025,May
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000008,110.0,aqi_hourly_city_level__2025_April_ahmedabad_2025.xlsx,2025,April
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000008,98.0,aqi_hourly_city_level__2025_February_ahmedabad_2025.xlsx,2025,February
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000008,101.0,aqi_hourly_city_level__2025_January_ahmedabad_2025.xlsx,2025,January
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000008,189.0,aqi_hourly_city_level__2025_March_ahmedabad_2025.xlsx,2025,March
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000008,51.0,aqi_hourly_city_level__2025_May_ahmedabad_2025.xlsx,2025,May
