census_ward_id,ward_name,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,No_HH,source_id,district_code,state_code
1,Ahmadabad (M Corp.) WARD NO.-0001,49408,25983,23425,4175,2327,1848,739,386,353,140,76,64,41890,22583,19307,7518,3400,4118,18376,15427,2949,16792,14581,2211,1584,846,738,31032,10556,20476,11525,census_2011,474,24
2,Ahmadabad (M Corp.) WARD NO.-0002,53630,28064,25566,5346,2865,2481,903,447,456,142,69,73,44768,23953,20815,8862,4111,4751,18135,15977,2158,16878,15151,1727,1257,826,431,35495,12087,23408,11023,census_2011,474,24
3,Ahmadabad (M Corp.) WARD NO.-0003,63664,32788,30876,6625,3550,3075,1362,702,660,161,86,75,52300,27526,24774,11364,5262,6102,21140,18274,2866,19562,17371,2191,1578,903,675,42524,14514,28010,13170,census_2011,474,24
4,Ahmadabad (M Corp.) WARD NO.-0004,68150,35157,32993,8440,4441,3999,2368,1219,1149,383,186,197,50412,27113,23299,17738,8044,9694,23015,19463,3552,21394,18442,2952,1621,1021,600,45135,15694,29441,14006,census_2011,474,24
5,Ahmadabad (M Corp.) WARD NO.-0005,66855,34170,32685,8105,4229,3876,3321,1705,1616,576,310,266,51133,26923,24210,15722,7247,8475,22397,18948,3449,20487,17760,2727,1910,1188,722,44458,15222,29236,13552,census_2011,474,24
6,Ahmadabad (M Corp.) WARD NO.-0006,66246,33512,32734,7000,3613,3387,2951,1511,1440,30,16,14,53674,27956,25718,12572,5556,7016,22190,19309,2881,20800,18600,2200,1390,709,681,44056,14203,29853,12459,census_2011,474,24
7,Ahmadabad (M Corp.) WARD NO.-0007,83109,42139,40970,6418,3470,2948,3741,2008,1733,755,379,376,71921,36716,35205,11188,5423,5765,30075,23783,6292,28108,22614,5494,1967,1169,798,53034,18356,34678,18855,census_2011,474,24
8,Ahmadabad (M Corp.) WARD NO.-0008,123116,63283,59833,12698,6702,5996,14006,7340,6666,2854,1540,1314,95243,50731,44512,27873,12552,15321,45066,35754,9312,42769,34528,8241,2297,1226,1071,78050,27529,50521,27754,census_2011,474,24
9,Ahmadabad (M Corp.) WARD NO.-0009,68911,36303,32608,5264,2832,2432,11501,5988,5513,1858,1053,805,57110,30872,26238,11801,5431,6370,26154,20286,5868,24771,19531,5240,1383,755,628,42757,16017,26740,16138,census_2011,474,24
10,Ahmadabad (M Corp.) WARD NO.-0010,55647,28073,27574,4530,2419,2111,1687,896,791,648,349,299,44699,23294,21405,10948,4779,6169,20422,15941,4481,18262,14794,3468,2160,1147,1013,35225,12132,23093,12839,census_2011,474,24
